Abbrev,Description,Usages
DMAAC,Defense Mapping Agency Aerospace Center,GEN
DMAHC,Defense Mapping Agency Hydrographic Center,GEN
DME,distance measuring equipment,GEN
DMEG,DMEcollocated with glide slope,GEN
DMEL,DMEcollocated with localizer,GEN
DMER,DMEtactical air navigation with DME only commissioned,GEN
DMEV,DMEcollocated with VOR,GEN
DMG,damage,GEN
DMNT,dominant,GEN
DMO,"Directives Management Officer, FAA",GEN
DMSH,diminish,NWS
DMSTN,demonstration,GEN
DNA,Defense Nuclear Agency,GEN
DNG,danger,ICAO
DNS,dense,NWS
DNSLP,downslope,NWS
DNSTRM,downstream,NWS
DNWND,downwind,ATC
DO,Deputy Commander for Operations,GEN
DO,ditto,GEN
DOB,date of birth,GEN
DOC,Department of Commerce,GEN
DOD,Department of Defense,GEN
DOE,Department of Energy,GEN
DOLLY,data link,GEN
DOM,domestic,ICAO
DOT,Department of Transportation,GEN
DOT1,Transport OneSecretary of Transportation,ATC
DOT2,Transport TwoDeputy Secretary of Transportation,ATC
DP,deep,NWS
DP,dew point temperature,ICAO
DPCR,departure procedure,ATC
DPNG,deepening,NWS
DPT,depth,ICAO
DPTH,depth,NWS
DR,dead reckoning,ATC
DR,direct route,GEN
DR,low drifting,METAR
DRCT,direct,GEN
DRCTN,direction,GEN
DRDU,low drifting dust,METAR
DRFT,drift,NWS
DRG,during,ICAO
DRIR,direct readout infrared,GEN
DRMS,Distance Root Mean Square,ATC
DRR,Deployment Readiness Review,ATC
DRSA,low drifting sand,METAR
DRSN,low drifting snow,METAR
DRZL,drizzle,NWS
DS,domestic services (island operations),GEN
DS,dust storm,METAR
DSATR,descend so as to reach,ATC
DSATX,descend so as to cross,ATC
DSB,double sideband,ICAO
DSCNT,descent,ATC
DSGND,designated,GEN
DSIPT,dissipate,NWS
DSN,Defense Switching Network,GEN
DSND,descend,ATC
DSNDI,descend immediately,ATC
DSNT,distant,GEN
DSPL,display,GEN
DSPLC,displace,GEN
DSPN,disposition,GEN
DSPRL,dispersal,GEN
DSR,desire,GEN
DSRGD,disregard,GEN
DST,distort,GEN
DSTC,distance,GEN
DSTND,destined,ATC
DTAM,descend to and maintain,ATC
DTAX,descend to and cross,ATC
DTE,data terminal equipment,GEN
DTF,data transmission feature,GEN
DTG,date time group,GEN
DTHR,Displaced runway threshold,ICAO
DTL,detail,GEN
DTLN,international dateline,NWS
DTR,data transmission request,GEN
DTRM,determine,GEN
DTRT,deteriorate,NWS
DTS,Diplomatic Telecommunications Service,GEN
DTW,dual tandem wheels,ICAO
DU,widespread dust,METAR
DUATS,direct user access terminal system,GEN
DUC,dense upper cloud,ICAO
DUPE,duplicate,GEN
DUPE,This is a duplicate message (to be used in AFS as a procedure signal),ICAO
DUR,duration,ICAO
DURC,during climb,ATC
DURD,during descent,ATC
DURG,during,GEN
DURN,duration,GEN
DV,distinguished visitors,GEN
DVFR,defense VFR,GEN
DVLP,develop,GEN
DVOLMET,Data link VOLMET,ICAO
DVOR,doppler VHF omnidirectional radio range,ICAO
DVRG,diverge,GEN
DVRSN,diversion,GEN
DVV,downward vertical velocity,NWS
DW,dual wheels,ICAO
DWG,drawing,GEN
DWNDFTS,downdrafts,NWS
DWPNT,dew point,NWS
DWRC,descend well to right of course,ATC
DWTR,descend well to right,ATC
DX,duplex,GEN
DZ,drizzle,ICAO
E,east or eastern longitude,ICAO
E/G,enginegenerator,GEN
E/R,exchange and repair,GEN
EACLN,expect approach clearance,ATC
EACNL,expect approach clearance not later than,ATC
EADIZ,entering air defense identification zone,ATC
EARTS,en route automated radar tracking system,GEN
EAS,equivalent airspeed,ATC
EAT,expected approach time,ATC
EB,eastbound,ICAO
EBND,eastbound,GEN
ECA,enter control area,ATC
ECAS,enter controlled airspace,ATC
ECD,except change departure to read,ATC
ECM,electronic counter measures,GEN
ECMSN,electronic counter measure mission,ATC
ECOM,en route communications,GEN
ECR,except change route to read,ATC
ECSP,electronic specialist,GEN
EDA,early departure authorized,GEN
EDC,expect departure clearance at,ATC
EDCT,estimated departure clearance (time),ATC
EDR,expect departure release at,ATC
EEE,Error (to be used in AFS as a procedure signal),ICAO
EEM,electronic equipment modification,GEN
EENGR,electrical engineer,GEN
EEP,end exercise point,GEN
EET,estimated elapsed time,ICAO
EFA,entire field available,GEN
EFAS,en route flight advisory service,GEN
EFC,expect further clearance at,ATC
EFCT,effect,GEN
EFF,effective,GEN
EFR,expect further routing,ATC
EFTO,encrypt for transmission only,GEN
EG,emergency gear,GEN
EGECON,electronic geographic coordinator navigation system,GEN
EHA,expect higher altitude,ATC
EHF,extremely high frequency (30000 to 300000 MHz),ICAO
EIT,electronic installation technician,GEN
ELAT,estimated latitude,GEN
ELBA,emergency location beacon aircraft,ICAO
ELEC,electric,GEN
ELECN,electrician,GEN
ELEV,elevate or elevation,GEN
ELIP,elliptical,GEN
ELMT,electronic mechanic technician,GEN
ELNGT,elongate,NWS
ELONG,estimated longitude,GEN
ELR,extra long range,ICAO
ELSW,elsewhere,GEN
ELT,emergency locator transmitter,GEN
EM,emission,ICAO
EMBD,embedded (in cloud layer),ICAO
EMBDD,embedded,NWS
EMDO,Engineering and Manufacturing District Office,GEN
EMERG,emergency,GEN
EMI,electronic maintenance inspector,GEN
EMSU,environment meteorological support unit,NWS
EMT,electronic maintenance technician,GEN
ENCTR,encounter,GEN
END,stopend (related to RVR),ICAO
ENDCE,endurance,GEN
ENDG,ending,GEN
ENE,eastnorth east,ICAO
ENERN,eastnortheastern (weather reports only),NWS
ENEWD,eastnortheastward (weather reports only),NWS
ENG,engine,GEN
ENGR,engineer,GEN
ENHNCD,enhanced,GEN
ENHNCMNT,enhancement,GEN
ENR,enroute,ICAO
ENRC,Enroute chart (followed by name/title),ICAO
ENRT,en route,GEN
ENTR,entire,GEN
EOD,entered on duty,GEN
EOF,expected operations forecast,NWS
EP,en route penetration,ATC
EPI,expanded position indicator,ATC
EQCRT,equipment certified,GEN
EQPT,equipment,ICAO
EQUIP,equipment,GEN
ER,here,ICAO
ERAD,en route radar (broadband),GEN
ERMG,en route metering,ATC
ERSP,en route spacing program,ATC
ERY,early,GEN
ESCAT,emergency security control of air traffic,GEN
ESE,eastsouth east,ICAO
ESEWD,eastsoutheastward (weather reports only),NWS
ESNTL,essential,GEN
ESP,en route sequencing program,ATC
EST,estimate or estimation,GEN
ESTAB,establish,GEN
ESV,expanded service volume,GEN
ET,electronic technician,GEN
ETA,estimated time of arrival,GEN
ETARS,en route tracking automatic radar service,ATC
ETC,et cetera,GEN
ETD,estimated time of departure,GEN
ETE,estimated time en route,GEN
ETFL,each thousand foot level,ATC
ETI,estimated information,ATC
ETIM,elapsed time,ATC
ETO,estimated time over significant point,ICAO
ETOV,estimated time over,ATC
ETP,estimated time of penetration,ATC
ETR,eastern test range,ATC
EU,electronic unit,GEN
EUO,emergency use only,GEN
EV,every,ICAO
EVAC,evacuation,GEN
EVAL,evaluate or evaluation,GEN
EVE,evening,GEN
EVS,electronic voice switching system,GEN
EVT,expect vector to,ATC
EXAM,examination,GEN
EXC,except,ICAO
EXCH,exchange,GEN
EXCLD,exclude,GEN
EXCLV,exclusive,GEN
EXCP,except,GEN
EXCT,execute,GEN
EXDLVY,expedite delivery,GEN
EXEC,executive,GEN
EXEC1,President on board civil aircraft,GEN
EXEC1F,President’s family is aboard aircraft,GEN
EXEC2,Vice President is aboard civil aircraft,GEN
EXEC2F,Vice President’s family is aboard aircraft,GEN
EXER,exercise,ICAO
EXP,expect,ICAO
EXPC,expect,GEN
EXPED,expedite,GEN
EXPHO,expedite delivery by telephone,GEN
EXPS,express,GEN
EXQF,expanded quota flow,ATC
EXREP,expedite mail reply,GEN
EXSEC,extra section,GEN
EXSHI,expedite shipment,GEN
EXTD,extend,GEN
EXTN,extension,GEN
EXTRAP,extrapolate,NWS
EXTRM,extreme,NWS
EXTSV,extensive,GEN
FAA,Federal Aviation Administration,GEN
FAA,for an approach to,ATC
FAA1,SafeAir OneFederal Aviation Administration Administrator,ATC
FAA2,SafeAir TwoFederal Aviation Administration Deputy Administrator,ATC
FAAP,federal aid to airports program,GEN
FAAR,FAA requirements,GEN
FAC,facility,GEN
FACF,facility chief,GEN
FACSFAC,Fleet Area Controlled and Surveillance Facility,ATC
FAD,fuel advisory departure,GEN
FAF,final approach fix,GEN
FAFAB,FSS assumes flightplan area and Service B,GEN
FAH,fahrenheit,NWS
FAL,facilitation of international air transport,ICAO
FAM,familiar or familiarization,GEN
FAMAE,following amendment authorized effective,GEN
FAP,final approach point,ICAO
FAR,Federal Aviation Regulations,GEN
FATFL,FSS assumes control of tower frequencies and lights,GEN
FAX,facsimile,GEN
FBO,fixedbase operator,GEN
FC,funnel cloud,METAR
FCA,frequency change approved,ATC
FCC,Federal Communications Commission,GEN
FCO,facility coordination officer,GEN
FCRP,field condition report,ATC
FCST,forecast,GEN
FCTA,flow control time of arrival,ATC
FCWOS,FAA Contract Weather Observing Station,GEN
FDAT,flight data,GEN
FDC,Flight Data Center,GEN
FDDL,frequency division data link,GEN
FDEP,flight data entry and printout,ATC
FDI,Fault Detection and Isolation,ATC
FDIO,flight data input/output,ATC
FDIOR,flight data input/output repeater,ATC
FDPS,Flight data processing system,ICAO
FE,flight engineer,GEN
FENKN,fuel supply unknown,ATC
FENTL,fuel supply until,ATC
FEW,1 or 2 octas (eighths) cloud coverage,METAR
FEXHA,fuel supply exhausted,ATC
FFC,for further clearance,ATC
FFLT,familiarization flight,GEN
FFMN,fixed federal monitoring network,GEN
FG,fog,METAR
FGSB,FSS guarding Service B,GEN
FI/P,flight information (permanent),GEN
FI/T,flight information (temporary),GEN
FIBI,filed but impracticable to transmit,NWS
FIC,Flight Information Center,GEN
FIDO,Flight Inspection District Office,GEN
FIFO,Flight Inspection Field Office,GEN
FIFOH,Flight Inspection Field Office High Altitude,GEN
FIFP,filed IFR flight plan,ATC
FIG,figure,GEN
FIG,flight inspection group,GEN
FIL,filament,GEN
FILG,filling,NWS
FILS,florescan instrument landing system,GEN
FINO,weather report will not be filed for transmission,NWS
FIR,Flight Information Region,GEN
FIRAV,first available,GEN
FIRB,Flight Information Region Boundary,GEN
FIRG,firing,GEN
FIRIV,arrival report will be filed with,ATC
FIS,flight information service,GEN
FISA,automated flight information service,ICAO
FL,flash advisory,NWS
FL,flight level,GEN
FLCTN,fluctuation,GEN
FLD,field,ICAO
FLDST,flood stage,NWS
FLG,falling,NWS
FLG,flashing,ICAO
FLIDAP,flight data position,GEN
FLIP,flight information publication,GEN
FLORL,fluorescent runway lighting (floodlight system),GEN
FLR,flares,ICAO
FLRY,flurry,NWS
FLT,flight,GEN
FLTCK,flight check,GEN
FLTO,flight orders,GEN
FLTWO,flight watch outlet,GEN
FLUC,fluctuating,ICAO
FLW,follow,GEN
FLWIS,flood warning issued,NWS
FM,fan marker,GEN
FM,from,GEN
FMAP,fan marker approach,ATC
FMH,fan marker located with radio beacon,GEN
FMO,frequency management officer,GEN
FMS,Flight management system,ICAO
FMT,format,GEN
FMU,flow management unit,ICAO
FNA,final approach,ICAO
FNCTN,function,GEN
FNT,Front,NWS
FNTGNS,frontogenesis,NWS
FNTLYS,frontolysis,NWS
FOB,fuel on board,GEN
FONE,telephone,GEN
FORNN,forenoon,NWS
FP,flight plan,GEN
FPA,flight plan area,ATC
FPB,flight progress board,ATC
FPDI,flight path deviation indicator,GEN
FPL,filed flight plan,ICAO
FPL,full performance level,ATC
FPM,feet per minute,GEN
FPN,fixed pulse radar navigation aid,GEN
FPNO,flight plan not received,GEN
FPP,from present position,ATC
FPR,flight plan route,GEN
FPRC,for possible reclearance,ATC
FPWA,further particulars when available,ATC
FQT,frequent,GEN
FR,from,GEN
FRC,full route clearance,GEN
FRD,fixradialdistance,ATC
FREQ,frequency,GEN
FRFAB,FSS returns flightplan area and Service B,GEN
FRH,fly runway heading,ATC
FRM,form,GEN
FRMG,forming,NWS
FRMN,formation,GEN
FRNG,firing,ICAO
FROPA,frontal passage,NWS
FROSFC,frontal surface,NWS
FRQ,frequent,ICAO
FRSB,FSS returns Service B,GEN
FRST,frost,NWS
FRTFL,FSS returns control of tower frequencies and lights,GEN
FRWF,forecast wind factor,NWS
FRZ,freeze,NWS
FRZLVL,freezing level,NWS
FRZN,frozen,NWS
FSDO,Flight Standards District Office,GEN
FSL,full stop landing,ATC
FSM,flight schedule monitor,ATC
FSNFO,Flight Standards National Field Office,GEN
FSP,flight strip printer,GEN
FSS,Flight Service Station,GEN
FT,feet,GEN
FT,filing time,GEN
FT,foot,GEN
FTAR,following transmitted as received (message handling),GEN
FTHR,farther or further,GEN
FTHRD,feathered,ATC
FTS,Federal Telecommunications System,GEN
FU,smoke,METAR
FURN,furnish,GEN
FV,forward visibility (miles),ATC
FVFP,filed VFR flight plan,ATC
FW/SIFR,fixed wing special IFR,GEN
FW/SVFR,fixed wing special VFR,GEN
FWA,flight watch area,GEN
FWC,Fleet Weather Central,NWS
FWCS,flight watch control station,GEN
FWD,forward,GEN
FWDC,forward collect,GEN
FWP,flight watch point,GEN
FWRNG,fire warning,GEN
FWS,flight watch specialist,GEN
FWU,flight watch unit,GEN
FYI,for your information,GEN
FZ,supercooled/freezing,METAR
FZDZ,freezing drizzle,METAR
FZFG,freezing fog,METAR
FZRA,freezing rain,METAR
FZRANO,freezing rain sensor not available,METAR
G,gusts reaching (knots) (weather reports only),NWS
G/A,ground to air,ICAO
G/A/G,ground to air and air to ground,ICAO
GA,general aviation,GEN
GA,glide angle,GEN
GA,"Go ahead, resume sending (to be used in AFS as a procedure signal)",ICAO
GADO,General Aviation District Office,GEN
GALS,gallons,ATC
GBA,give better address,GEN
GBL,government bill of lading,GEN
GBR,give better reference,GEN
GC,ground control,GEN
GCA,ground control approach,GEN
GCI,ground control intercept,GEN
GCO,ground communication outlet,ATC
GDP,ground delay program,ATC
GDPGM,Ground Delay Program,ATC
GEN,ESERN eastsoutheastern (weather reports only),NWS
GEN,general,GEN
GENOT,general notice,GEN
GEO,geographic,GEN
GEOREF,geographical reference,GEN
GES,ground earth station,ICAO
GHZ,gigahertz,GEN
GIC,GPS Integrity Channel,ATC
GICG,glaze icing,NWS
GLD,glider,ICAO
GLDR,glider,GEN
GLFALSK,Gulf of Alaska,NWS
GLFCAL,Gulf of California,NWS
GLFMEX,Gulf of Mexico,NWS
GLFSTLAWR,Gulf of St. Lawrence,NWS
GLONASS,global navigation satellite system,ICAO
GLONASS,Global orbiting navigation satellite system,ICAO
GMC,Ground movement chart (followed by name/title),ICAO
GMT,Greenwich Mean Time,GEN
GND,ground,GEN
GNDCK,ground check,ICAO
GNDFG,ground fog,NWS
GNSS,global navigation satellite system (in general),ICAO
GNTR,generator,GEN
GOV,Governor,GEN
GOVT,government,GEN
GP,glide path,GEN
GPI,ground point of intercept,ATC
GPS,global positioning system,ATC
GQA,get quick answer,GEN
GR,hail (greater than 3/4”),METAR
GRAD,gradient,NWS
GRADU,gradual,ICAO
GRASS,grass landing area,ICAO
GRBL,garble,GEN
GRBNKS,Grand Banks,NWS
GRDL,gradual,NWS
GRID,grid point values of processed meteorological data,ICAO
GRTLKS,Great Lakes,NWS
GRVL,gravel,GEN
GS,glide slope,GEN
GS,Ground speed,ATC
GS,Ground stop,ATC
GS,snow pellets/small hail (less than 1/4”),METAR
GSA,General Services Administration,GEN
GSDO,General Safety District Office,GEN
GSI,General safety inspector,GEN
GSTS,Gusts,NWS
GSTY,gusty,NWS
GTC,gain time control,ATC
GTCL,Great Circle,GEN
GTR,greater,GEN
GUND,Geoid undulation,ICAO
GV,ground visibility,NWS
GVG,giving,GEN
GVH,government vehicle,GEN
GWT,gross weight,GEN
H24,continuous 24hour service,ICAO
HAA,height above airport,GEN
HADA,Hawaiian Defense Area,GEN
HADD,Hawaiian Air Defense Division,GEN
HADIZ,Hawaiian Air Defense Identification Zone,GEN
HAL,height above landing,GEN
HANG,Hawaiian Air National Guard,GEN
HAPI,holding as previously instructed,ATC
HARS,hazardous area reporting service,ATC
HAT,height above touchdown,GEN
HAZ,hazard,GEN
HB,homing beacon,ATC
HBN,hazard beacon,ICAO
HCVIS,high clouds visible,NWS
HDATZ,high density traffic zones,ATC
HDF,high frequency direction finding station,ICAO
HDFRZ,hard freeze,NWS
HDG,heading,ICAO
HDOP,Horizontal Dilution of Precision,ATC
HDSVLY,Hudson Valley,NWS
HDTA,high density traffic airport,GEN
HDWND,headwind,ATC
HEL,helicopter,GEN
HELI,heliport,GEN
HF,high frequency,GEN
HFR,hold for release,ATC
HGT,height,GEN
HHE,household effects,GEN
HI,high,NWS
HIALS,high intensity approach light system,GEN
HIBAL,high altitude balloon,GEN
HIEAT,highest temperature equaled for all time,NWS
HIEFM,highest temperature equaled for the month,NWS
HIESE,highest temperature equaled so early,NWS
HIESL,highest temperature equaled so late,NWS
HIFOR,high level forecast,NWS
HIRIV,how will arrival report be filed concerning,ATC
HIRL,high intensity runway lights,GEN
HITMP,highest temperature,NWS
HIWAS,hazardous inflight weather advisory service,GEN
HIXAT,highest temperature exceeded for all time,NWS
HIXFM,highest temperature exceeded for the month,NWS
HIXSE,highest temperature exceeded so early,NWS
HIXSL,highest temperature exceeded so late,NWS
HJ,sunrise to sunset,ICAO
HLDG,holding,ICAO
HLF,half,GEN
HLSTO,hailstones,NWS
HLTP,hilltop,NWS
HN,sunset to sunrise,ICAO
HND,hundred,GEN
HNGR,hangar,GEN
HO,service available to meet operational requirements,ICAO
HOL,holiday,GEN
HOP,handoff point,ATC
HOP,helicopter operations,GEN
HOSP,hospital aircraft,ICAO
HOW,handover word,ATC
HP,holding pattern,GEN
HPA,hectopascal,ICAO
HQ,headquarters,GEN
HR,here,GEN
HR,hour,GEN
HRZN,horizon,GEN
HS,service available during scheduled operations,ICAO
HTN,heterodyne,GEN
HTR,heater,GEN
HURCN,hurricane,NWS
HUREP,hurricane report,NWS
HV,high voltage,GEN
HVDF,high and very high frequency direction finding stations,ICAO
HVY,heavy,GEN
HWVR,however,GEN
HWY,highway,GEN
HX,high index,NWS
HX,no specific working hours,ICAO
HYD,hydraulic,GEN
HYDRO,hydrographic,GEN
HYR,higher,ICAO
HZ,haze,METAR
Hz,hertz,GEN
IATA,International Air Transport Association,GEN
IATSC,International Aeronautical Telecommunications Switching Center,GEN
IAW,in accordance with,GEN
IBASF,intervals between aircraft in stream type formation,ATC
IBN,identification beacon,ICAO
IBND,inbound,ATC
IC,ice crystals (weather reports only),METAR
IC,icing (PIREP only),ATC
ICAO,International Civil Aviation Organization,GEN
ICD,Interface Control Document,ATC
ICG,icing,NWS
ICGIC,icing in clouds,NWS
ICGICIP,icing in clouds and precipitation,NWS
ICGIP,icing in precipitation,NWS
ID,identification,GEN
IDAT,interfacility data,GEN
IDENT,identify or identifier or identification,GEN
IDP,individual development plan,GEN
IF,intermediate approach fix,ICAO
IF,intermediate fix,GEN
IFAMP,if approach missed proceed,ATC
IFF,identification friend/foe,ICAO
IFHOL,if holding,ATC
IFIM,International Flight Information Manual,GEN
IFINS,if instrument conditions encountered,ATC
IFO,International Field Office,GEN
IFO,interphone,GEN
IFONO,interphone (service F) not operative,GEN
IFORO,interphone (service F) resumed operation,GEN
IFPFP,individual flight plans from this point,ATC
IFR,instrument flight rules,GEN
IFSS,International Flight Service Station,GEN
IFUN,if unable,GEN
IFVLS,if flight visibility becomes less than,ATC
IFVR,if visibility remains,ATC
IGA,international general aviation,ICAO
IGIA,Interagency Group on International Aviation,GEN
IIA,if incorrect advise,GEN
IISD,if incorrect service direct,GEN
ILAS,instrument low approach,ATC
ILS,instrument landing system,GEN
ILSP,ILSpartial,GEN
IM,inner marker,GEN
IMAP,immediately after passing,ATC
IMC,instrument meteorological conditions,GEN
IMDT,immediate,NWS
IMF,interrogation sign,GEN
IMG,immigration,ICAO
IMI,Intensity unknown (weather reports only),ICAO
IMP,impracticable,GEN
IMPL,impulse,GEN
IMPR,improve,ICAO
IMPT,important,GEN
IMT,immediate or immediately,GEN
IN,inch,GEN
INA,initial approach,ICAO
INADQT,inadequate,GEN
INATS,interruption of air traffic services,GEN
INBD,inbound,ICAO
INC,in clouds,ICAO
INC,incorporated,GEN
INCERFA,uncertainty phase code (alerting service),ATC
INCL,include,GEN
INCLV,inclusive,GEN
INCOMP,incomplete,GEN
INCOR,incorrect,GEN
INCR,increase,GEN
INDC,indicate,GEN
INDEF,indefinite,GEN
INDUS,industrial,GEN
INF,inland navigation facility,GEN
INFO,information,GEN
INIT,initial training,GEN
INLD,inland,NWS
INOF,if not off,GEN
INOP,inoperative,GEN
INP,if not possible,GEN
INPR,in progress,ICAO
INREQ,information request,GEN
INS,inertial navigation system,ICAO
INSP,inspect,GEN
INST,instrument,GEN
INSTA,instruments authorized,ATC
INSTA,interstate,GEN
INSTBY,instability,NWS
INSTL,install,GEN
INSTR,instruct,GEN
INSTR,instrument,ICAO
INSUF,insufficient scheduled time available,GEN
INSUF,unable to finish,GEN
INT,intersection,ICAO
INTCNTL,intercontinental,GEN
INTCP,intercept,GEN
INTD,intend,GEN
INTER,intermittent,ICAO
INTFC,interference,GEN
INTL,international,GEN
INTMD,intermediate,GEN
INTMT,intermittent,GEN
INTNS,intentions,GEN
INTR,interior,NWS
INTRG,interrogator,ICAO
INTRMTRGN,InterMountain Region,NWS
INTRP,interrupt,GEN
INTS,intense,NWS
INTSF,intensify or intensifying,ICAO
INTSFY,intensify,NWS
INTST,intensity,GEN
INTVL,interval,GEN
INTXN,intersection,GEN
INVES,investigate,GEN
INVOF,in the vicinity of,ATC
INVRN,inversion,NWS
INVSTAR,investigate and report,GEN
IOVC,in overcast,NWS
IP,initial point,ATC
IP,instructor pilot,GEN
IPV,improve,GEN
IR,ice on runway,NWS
IR,IFR military training route,GEN
IRAC,Interdepartmental Radio Advisory Committee,GEN
IRAD,inbound radial,ATC
IREG,irregular,GEN
IRN,Interface Revision Notices,ATC
IS,island,GEN
ISA,international standard atmosphere,ICAO
ISB,independent sideband,ICAO
ISMGR,Island Manager,GEN
ISMLS,interim standard microwave landing system,GEN
ISOL,isolate,GEN
ITCK,issue time check,ATC
ITNRNT,itinerant,GEN
ITRY,itinerary,GEN
ITU,International Telecommunications Union,GEN
IVFRC,in VFR conditions,ATC
JAL,jet approach landing charts,GEN
JATO,jet assisted takeoff,ATC
JAWYS,join airways,ATC
JBAR,jet runway barrier,ATC
JCTN,junction,GEN
JOUR,journeyman,GEN
JP,jet penetration,ATC
JPAP,jet penetration approach,ATC
JTST,jet stream,ICAO
JTSTR,jet stream,NWS
K,Cold (air mass),NWS
KC,kilocycles,GEN
KEPOA,keep this office advised,GEN
KFRST,killing frost,NWS
KG,kilogram,GEN
KHZ,kilohertz,GEN
KM,kilometers,GEN
KMH,kilometers per hour,ICAO
KPA,kilopascal,ICAO
KT,knots,GEN
KW,kilowatt,GEN
L,Locator,ICAO
L/MF,low/medium frequency,GEN
LA,low approach,ATC
LAA,local airport advisory,GEN
LAADR,low altitude arrival/departure routing,ATC
LAAS,Local Area Augmentation System,ATC
LAB,laboratory,GEN
LABRDR,labrador,NWS
LABS,leased Service A/B system,ATC
LABS,low altitude bombing system,GEN
LADP,local airport deicing plan,ATC
LAM,logical acknowledgement,ICAO
LAN,inland,ICAO
LARCT,last radio contact,ATC
LAT,latitude,GEN
LAWRS,Limited Aviation Weather Reporting Station,GEN
LB,left base,ATC
LC,local control,GEN
LCL,local or locally,GEN
LCT,locate,GEN
LCTMP,little change in temperature,NWS
LD,long distance,GEN
LDA,landing distance available,ICAO
LDG,landing,ICAO
LDI,landing direction indicator,ICAO
LDIN,lead in lighting system,GEN
LEN,length,ICAO
LETFO,letter follows,GEN
LF,low frequency,GEN
LFC,laminar flow control,GEN
LFNT,low frequency intersection,GEN
LFR,low frequency radio range,GEN
LFT,lift,NWS
LGRNG,long range,NWS
LGT,light,GEN
LGTD,lighted,ICAO
LGWV,long wave,GEN
LICOF,land lines communications facilities,GEN
LIFR,low IFR (weather reports only),NWS
LIH,light intensity high,ICAO
LIL,light intensity low,ICAO
LIM,light intensity medium,ICAO
LIN,linearity,GEN
LIRL,low intensity runway edge lights,GEN
LK,lake,NWS
LKLY,likely,GEN
LKTYP,like type,ATC
LL,landline,GEN
LLWAS,low level wind shear alert system,GEN
LLWS,low level wind shear,GEN
LLZ,localizer,ICAO
LM,locator middle,ICAO
LMM,compass locator at ILS middle marker,GEN
LMT,limit,GEN
LMT,Local Mean Time,ICAO
LN,line,GEN
LNAV,lateral navigation (from TERPSA1),GEN
LND,Land,GEN
LNDG,landing,GEN
LO,liaison officer,GEN
LO,outer locator,ICAO
LOA,letter of agreement,GEN
LOC,localizer,GEN
LOC,locally,ICAO
LOCOR,local coordinator,GEN
LODISNAV,long distance navigation,GEN
LOEAT,lowest temperature equaled for all time,NWS
LOEFM,lowest temperature equaled for the month,NWS
LOESE,lowest temperature equaled so early,NWS
LOESL,lowest temperature equaled so late,NWS
LOM,compass locator at ILS outer marker,GEN
LONG,longitude,GEN
LONGL,longitudinal,GEN
LOP,line of position,GEN
LORAC,long range accuracy,GEN
LORAN,long range air navigation system,GEN
LOTMP,lowest temperature,NWS
LOXAT,lowest temperature exceeded for all time,NWS
LOXFM,lowest temperature exceeded for the month,NWS
LOXSE,lowest temperature exceeded so early,NWS
LOXSL,lowest temperature exceeded so late,NWS
LP,left traffic pattern,ATC
LP,linear polarization,ATC
LP,liquid propane,GEN
LR,The last message received by me was ….,ICAO
LRA,landing rights airport,GEN
LRCOM,long range VHF/UHF communications,GEN
LRG,large,GEN
LRG,long range,GEN
LRS,lake reporting service,GEN
LS,left side,ATC
LS,The last message sent by me was …or last message was …,ICAO
LSQ,line squall,ICAO
LSR,loose snow on runway,NWS
LST,Local Standard Time,GEN
LT,turn left after takeoff,ATC
LTAV,light and variable,GEN
LTD,limited,ICAO
LTF,local training flight,ATC
LTFC,landing traffic,ATC
LTGCA,lightning cloudtoair,NWS
LTGCC,lightning cloudtocloud,NWS
LTGCCCG,"lightning cloudtocloud, cloud to ground",NWS
LTGCG,lightning cloudtoground,NWS
LTGCW,lightning cloudtowater,NWS
LTGIC,lightning in clouds,NWS
LTL,little,GEN
LTLCG,little change,NWS
LTNG,lightning,NWS
LTR,later,GEN
LTR,letter,GEN
LTT,landline teletypewriter,ICAO
LTTR,latter,GEN
LV,leaving,GEN
LV,light and variable,ICAO
LVE,leave or leaving,ICAO
LVG,leaving,ATC
LVL,level,ATC
LVLOF,level off,ATC
LWR,lower,GEN
LX,low index,NWS
LYR,layer or layered or layers,NWS
M,in RVR indicates visibility less than lowest reportable sensor value (e.g. M600),METAR
M,in temperature field means “minus” or below zero,METAR
M,Mach number,GEN
M,maritime (air mass),NWS
M,metres (preceded by figures),ICAO
M,missing (weather reports only),NWS
M,Mountain Standard Time (time groups only),NWS
MA,map analysis,NWS
MAA,maximum authorized (IFR) altitude,GEN
MAC,Military Airlift Command,GEN
MACH,MACH Number (speed ratio to speed of sound),ATC
MACKAY,Mackay Radio and Telegraph Company,GEN
MACVFR,make altitude changes VFR,ATC
MAFAP,minimum altitude over facility on final approach course,ATC
MAG,magnetic,GEN
MAGSI,minimum altitude at glide slope intersection inbound,GEN
MAINT,maintenance,GEN
MAL,maintain at least (altitude),ATC
MALS,medium intensity approach lighting system,GEN
MALSF,medium intensity approach lighting system with sequenced flashers,GEN
MALSR,medium intensity approach lighting system with runway alignment indicator lights,GEN
MAM,maintenance assumes monitor,GEN
MAN,Manitoba,NWS
MAN,manual,GEN
MANAM,manual amendment,GEN
MANOP,manual of operations,GEN
MAP,aeronautical maps and charts,ICAO
MAP,missed approach point,GEN
MAPS,Meteorological Aeronautical Presentation System,GEN
MAPT,missed approach point,ICAO
MAR,at sea,ICAO
MARPT,municipal airport,GEN
